"Cruise","Station","Type","Date","Longitude","Latitude","Press","Depth","Temp","Sal","Oxy","Phos","Si","Ni","TA","DIC","ptemp","S0","S1","S2","S3","S4","ndens","AOU"
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,6.8,7,20.2518,35.468498,230.6,0.144752686553796,1.76906505717169,0.117645056459439,2331.2,2054.6,20.25053,25.052673,29.317711,33.489178,37.569958,41.56287,25.042229,-6.777
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,21.4,21,20.1867,35.4646,230.9,0.143588460424301,1.77774647074022,0.121691989794594,NA,NA,20.18272,25.067749,29.333851,33.506348,37.588131,41.582008,25.05846,-6.799
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,50,50,15.0058,35.3046,194.4,0.701373192328419,4.76009326257922,8.37168023796949,2321.8,2131,14.99824,26.207262,30.561182,34.818882,38.983097,43.056511,26.265162,52.884
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,99.3,99,12.2805,35.0895,217.7,0.835015618231265,5.02547143256726,10.8544820293464,NA,2131.2,12.26739,26.607098,31.014477,35.324074,39.538486,43.660305,26.67923,43.942
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,153.4,152,10.9653,34.905998,220.8,0.983335337936634,5.97622759599912,13.3807529647546,2299.5,2128.6,10.94648,26.712032,31.147581,35.484535,39.725422,43.872761,26.793575,48.506
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,197.5,196,10.0142,34.783001,216.2,1.14828044455468,7.4870931009906,16.0637529919993,2297.2,2145.3,9.99132,26.783995,31.240608,35.598026,39.858711,44.025143,26.873331,58.889
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,250.1,248,9.0786,34.693199,200.2,1.38873112067902,11.1494879504921,19.9456614339945,2292.6,2161.6,9.0513,26.869658,31.34742,35.725388,40.005962,44.191563,26.966589,80.741
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,288.3,286,8.1862,34.603802,176.8,1.68900037290609,16.3491699594255,24.1907938237332,2295.8,2205.5,8.15661,26.939135,31.437664,35.835819,40.135929,44.340359,27.044695,109.932
"06M220170104",2,"B","2017-01-04T17:59:00",17.8544,-34.2169,289.7,287,8.1617,34.601898,172.5,1.72227740769378,16.9056622924821,24.6192202459925,2296.2,2198.3,8.13202,26.941355,31.44046,35.839172,40.139828,44.34478,27.04715,114.393
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,10.3,10,21.246,35.510601,227.9,0.12329030958846,1.76227149270875,0.0277993099630969,2336.4,2048.2,21.24401,24.815903,29.065704,33.222393,37.288872,41.267967,24.786453,-8.064
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,10.6,11,21.246,35.510502,226.2,0.127439352809539,1.80800365771406,0.0558342617676941,NA,NA,21.24395,24.815842,29.065645,33.222336,37.288815,41.267914,24.786385,-6.364
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,48.5,48,18.804,35.359001,227.3,0.206462104466081,2.04632034961335,0.683560008251307,2325,2073.3,18.79542,25.34775,29.636314,33.830605,37.933472,41.947708,25.358633,2.688
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,97.1,96,13.9618,35.1744,203.1,0.750315953538246,4.79172766542418,9.05299445090505,2315.5,2124.5,13.94782,26.33293,30.707176,34.984608,39.167908,43.259731,26.396877,49.613
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,123.6,123,13.0776,35.138599,206.8,0.818376318467138,5.19215912624338,10.3382730789011,2313.6,2126.3,13.06056,26.48811,30.879564,35.173698,39.373154,43.480556,26.55662,50.539
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,132.1,131,12.9432,35.132999,206.7,0.833144690160369,5.32461575395718,10.6280425030888,NA,NA,12.9251,26.511026,30.905153,35.201881,39.403847,43.513664,26.580126,51.359
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,199.4,198,10.8233,34.9025,205.9,1.09776009179296,7.61089802472789,15.2382247800822,2302.9,2139.4,10.79899,26.735853,31.174501,35.514465,39.758263,43.908413,26.817894,64.255
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,289.2,287,9.559,34.760799,204.4,1.28321079898434,9.87920788659409,18.400210586931,2297.4,2148.1,9.52631,26.844942,31.311773,35.679119,39.949413,44.125103,26.936893,73.511
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,378.9,376,7.8246,34.5396,208.8,1.54476741448073,12.96666676267,22.4984768241975,2289.7,2165,7.78656,26.943863,31.451366,35.858242,40.166801,44.379372,27.054533,80.449
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,480.8,477,6.5369,34.4473,203.1,1.78594038938896,18.5786199982543,26.2088890447963,2291.5,2181.1,6.49303,27.051971,31.590689,36.02792,40.36586,44.606754,27.177778,94.972
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,569.5,565,5.4344,34.364899,212,1.90588273449091,21.628389798723,28.1084717539216,2292.4,2188.3,5.38696,27.126303,31.692804,36.157066,40.521179,44.787296,27.269724,94.017
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,633.5,628,5.1871,34.356899,211.8,1.94329220878318,23.1244169557779,28.6623795725636,NA,NA,5.13525,27.149708,31.722589,36.193058,40.563183,44.835098,27.297592,96.054
"06M220170104",3,"B","2017-01-04T20:06:00",17.6586,-34.3448,634.5,629,5.1731,34.356701,212.6,1.93983569149126,23.0712010029721,28.6173776273048,2290.9,2191.2,5.12123,27.151184,31.724421,36.195236,40.565697,44.837929,27.29932,95.356
"06M220170104",4,"B","2017-01-04T21:51:00",17.6294,-34.3594,9.2,9,21.2533,35.516899,227.4,0.12418786639242,1.77308574616891,0.0346132198108045,2334.8,2036,21.25152,24.818634,29.068285,33.224827,37.291168,41.27013,24.789675,-7.602
"06M220170104",4,"B","2017-01-04T21:51:00",17.6294,-34.3594,23.8,24,21.2461,35.5159,228.6,0.119422731268486,1.75214585484691,0.0158825384946381,2335.3,2033.3,21.24151,24.820625,29.070431,33.227123,37.29361,41.272709,24.791815,-8.762
"06M220170104",4,"B","2017-01-04T21:51:00",17.6294,-34.3594,48.4,48,18.4407,35.5201,218.1,0.254422843950124,2.43826848663248,1.57296129195543,2327.8,2093.8,18.43225,25.56275,29.856169,34.055168,38.162594,42.181221,25.590742,13.183
"06M220170104",4,"B","2017-01-04T21:51:00",17.6294,-34.3594,76.3,76,15.3297,35.3493,201.1,0.609659934523182,4.2802294103831,7.08670442238763,2320.5,2105.5,15.31798,26.170799,30.518635,34.770432,38.928932,42.996834,26.227009,44.565
"06M220170104",4,"B","2017-01-04T21:51:00",17.6294,-34.3594,115.3,114,13.2393,34.955799,239.7,0.598978360470102,2.68159449908583,6.47879597236527,2311.1,2106.6,13.2233,26.313549,30.703108,34.995407,39.193092,43.298794,26.381989,17.119
