"Cruise","Station","Type","Date","Longitude","Latitude","Press","Depth","Temp","Sal","Oxy","Phos","Si","Ni","TA","DIC","ptemp","S0","S1","S2","S3","S4","ndens","AOU"
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,3,3,22.43,35.651001,226.1,0.09,1.5,0.297,2353,2041.4,22.429,24.593,28.825001,32.964001,37.013,40.976002,24.539,-10.977
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,22,22,21.839,35.646999,229.4,0.08,1.5,0.297,2350.4,2037.2,21.835,24.757,28.997999,33.145,37.202999,41.173,24.719,-12.031
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,51,51,18.643,35.578999,251.7,0.11,1.5,0.297,NA,NA,18.634,25.558001,29.848,34.043999,38.147999,42.162998,25.582001,-21.368
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,63,63,17.308,35.576,256.9,0.14,1.4,0.297,2348.4,2046.8,17.297,25.886,30.198,34.415001,38.540001,42.575001,25.927999,-20.753
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,84,83,16.216,35.613998,244.2,0.18,1.4,0.396,2350.7,2059.8,16.203,26.174,30.504999,34.740002,38.882,42.933998,26.226999,-3.145
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,151,150,14.743,35.473,224,0.43,2.3,4.554,2344.4,2087.5,14.72,26.399,30.757,35.018002,39.186001,43.263,26.458,24.35
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,191,190,14.219,35.425999,222.1,0.52,2.5,6.039,2340,2091.2,14.191,26.476999,30.844999,35.116001,39.293999,43.380001,26.537001,28.95
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,220,218,13.937,35.389999,224.4,0.56,2.7,6.336,2337.6,2093.2,13.905,26.509001,30.882999,35.16,39.342999,43.433998,26.570999,28.149
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,300,298,12.928,35.231998,221.6,0.7,3.3,8.811,2334.6,2105.2,12.887,26.596001,30.99,35.286999,39.488998,43.598999,26.663,36.483
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,350,347,12.452,35.176998,233.4,0.68,3.1,8.415,2329.9,2100.6,12.405,26.649,31.052999,35.359001,39.570999,43.689999,26.719,27.342
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,400,397,11.748,35.053001,222.7,0.84,4.1,10.989,2325.1,2113.9,11.696,26.688999,31.108,35.429001,39.653999,43.786999,26.764,42.127
"316N19871123",237,"B","1989-02-01T00:00:00",-24.98499,-32.493,480,476,10.032,34.810001,210.4,1.18,7,16.632,2307.5,2129.5,9.9755,26.808001,31.264999,35.623001,39.882999,44.049999,26.896999,64.729
