"Cruise","Station","Type","Date","Longitude","Latitude","Press","Depth","Temp","Sal","Oxy","Phos","Si","Ni","TA","DIC","ptemp","S0","S1","S2","S3","S4","ndens","AOU"
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,3.8,4,5.5689,33.740002,319.59,NA,1.3,17.02,2281.2,2097,5.5686,26.610001,31.177,35.640999,40.006001,44.271999,26.747,-13.453
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,25,25,5.5105,33.740002,319.29,NA,1.18,16.88,NA,NA,5.5085,26.617001,31.186001,35.652,40.018002,44.285,26.754999,-12.72
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,50.3,50,4.8741,33.743,315.97,NA,0.64,16.5,NA,NA,4.8704,26.694,31.278,35.759998,40.140999,44.424,26.841,-4.759
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,70.4,70,4.7554,33.747002,317.18,NA,1.06,17,NA,NA,4.7502,26.709999,31.297001,35.782001,40.166,44.451,26.860001,-5.083
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,91.9,91,3.1162,33.794998,328.33,NA,4.95,20.45,2284.1,2128.9,3.1107,26.913,31.544001,36.07,40.493999,44.818001,27.084,-3.735
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,116.3,115,1.7165,33.839001,331.65,NA,12.98,23.28,NA,NA,1.7108,27.063,31.732,36.294998,40.756001,45.115002,27.209999,4.346
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,140.3,139,0.8275,33.863998,322.61,NA,20.63,25.57,NA,NA,0.82161,27.143,31.837,36.424999,40.91,45.292,27.313,21.014
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,166.1,165,0.6749,33.917,323.11,NA,25.84,27.12,NA,NA,0.66809,27.195,31.893,36.485001,40.973,45.359001,27.379999,21.729
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,192.7,191,0.8672,33.98,306.42,NA,30.65,28.56,NA,NA,0.85892,27.233999,31.926001,36.513,40.994999,45.375,27.431999,36.556
"33RO20050111",26,"B","2005-01-23T15:12:00",-33.67099,-49.506,228.6,227,1.5975,34.103001,268.23,NA,36.41,30.57,NA,NA,1.5862,27.284,31.954,36.519001,40.980999,45.341,27.483,68.136
