"Cruise","Station","Type","Date","Longitude","Latitude","Press","Depth","Temp","Sal","Oxy","Phos","Si","Ni","TA","DIC","ptemp","S0","S1","S2","S3","S4","ndens","AOU"
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,2.7,3,27.7175,34.623798,197.9,0.01,1.8,0,2272.8,1936.8,27.71687,22.20388,26.372265,30.44993,34.439854,38.344898,21.663052,0.349
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,28,28,28.1894,35.486599,197.2,0.01,1.6,0,2320.9,1984.2,28.18276,22.700661,26.858723,30.926403,34.90667,38.80238,22.273449,-1.499
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,56.7,56,27.7951,35.859001,195.8,0.02,1.2,0.1,2351.9,2018.2,27.78178,23.112165,27.272902,31.343191,35.325996,39.224174,22.775497,0.699
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,85.9,85,19.5923,35.848499,119.4,0.8,3.9,11.9,2344.8,2157.3,19.5766,25.520575,29.79369,33.972992,38.061356,42.061584,25.563297,106.588
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,112.7,112,16.5196,35.658199,88.8,1.3,5.6,20,2337.9,2196.1,16.50132,26.137661,30.46258,34.692139,38.829124,42.876266,26.207979,150.807
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,137.4,137,15.7998,35.613602,89.4,1.36,6.1,20.9,2330.3,2198.1,15.77817,26.270567,30.608437,34.850559,38.999699,43.058567,26.342583,153.636
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,197.1,196,14.2618,35.441799,117.9,1.29,6.8,19.6,2329.6,2183.2,14.23284,26.479212,30.84631,35.116798,39.293377,43.378708,26.551254,132.914
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,288.3,287,12.256,35.2015,121.5,1.44,8.7,22.2,2312.5,2187.9,12.21764,26.703712,31.111303,35.421101,39.635708,43.75771,26.776293,140.204
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,357.6,355,10.0998,34.957199,83.1,1.92,13.3,30.6,2303.8,2223,10.05773,26.908667,31.3626,35.717407,39.975563,44.139545,26.988615,191.254
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,438,435,8.7124,34.820499,88.2,2.06,16,32.8,NA,2228,8.66518,27.030775,31.516201,35.901611,40.189381,44.381908,27.122076,194.873
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,547.3,544,7.4343,34.718498,97.6,2.21,19.5,34.5,2300.8,2229.3,7.38019,27.143478,31.659075,36.073814,40.389973,44.609859,27.251478,193.925
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,722.5,717,5.6522,34.575199,126.2,2.3,25.7,34.8,2297.8,2225.8,5.58977,27.268221,31.828032,36.285774,40.643566,44.903576,27.41523,177.89
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,872.3,866,5.1205,34.6092,134.4,2.29,27.8,34.2,2305.6,2226.4,5.04768,27.359894,31.933001,36.403679,40.773991,45.046066,27.517513,173.51
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,1023,1015,4.8837,34.708599,145.6,2.16,27.2,32.3,2306.3,2222.3,4.79887,27.467346,32.045975,36.522018,40.897522,45.174591,27.62159,163.899
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,1173,1163,4.7411,34.840302,172.5,1.88,23.8,28.2,2313.9,2207,4.64357,27.589417,32.170959,36.649837,41.028072,45.30777,27.730349,137.836
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,1398.4,1386,4.4502,34.942001,210.4,1.56,19.6,23.5,2312.6,2186.4,4.3345,27.704357,32.293026,36.778831,41.163773,45.449921,27.835361,101.994
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,1748.6,1732,3.8925,34.965302,233.2,1.4,19.5,21.2,2317.508,2175.7,3.75062,27.784409,32.388092,36.888508,41.287598,45.587379,27.924368,83.556
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,2197.4,2174,3.2679,34.947701,241.4,1.39,25.5,21.1,2321.9,2177.4,3.09267,27.834761,32.456066,36.97364,41.389351,45.705151,27.996708,80.512
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,2597.7,2567,2.9111,34.930401,243.1,1.41,31,21.3,2328.9,2181.7,2.70323,27.856525,32.488499,37.016464,41.442238,45.767738,28.035101,81.952
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,2997.3,2960,2.6522,34.912899,244.2,1.42,35.8,21.5,2332.2,2187.4,2.40935,27.868118,32.50827,37.044201,41.477692,45.810635,28.061424,83.268
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,3398.1,3352,2.5337,34.903301,245.1,1.43,38.1,21.5,2336.2,2188.6,2.2515,27.873724,32.518303,37.058548,41.49622,45.833187,28.075432,83.68
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,3798.4,3744,2.3772,34.890099,245.7,1.45,41.9,21.8,2340.274,2193.3,2.05521,27.879232,32.529362,37.075012,41.517921,45.85994,28.092133,84.727
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,4196.4,4132,2.3635,34.885201,244.8,1.46,43.6,22,2344.448,2197.2,1.99648,27.880022,32.531826,37.079105,41.523598,45.867138,28.096596,86.125
"33RO20130803",117,"B","2013-09-24T10:36:00",-26,4.9988,4576.1,4502,2.4018,34.884399,243.9,1.47,44,22.1,2356.6,2200.5,1.9884,27.880026,32.532059,37.079567,41.524277,45.868031,28.097137,87.094
"33RO20130803",118,"B","2013-09-24T18:09:00",-25.74789,4.5017,3,3,27.8216,35.0467,198,0,1.6,0.1,2297.8,1955,27.8209,22.488194,26.652979,30.727167,34.71373,38.615528,22.017466,-0.612
"33RO20130803",118,"B","2013-09-24T18:09:00",-25.74789,4.5017,13.1,13,28.1657,35.553001,196.5,0,1.5,0.1,2327.2,1984,28.1626,22.757225,26.915159,30.982716,34.962864,38.858459,22.347851,-0.818
"33RO20130803",118,"B","2013-09-24T18:09:00",-25.74789,4.5017,32.8,33,28.2474,35.693501,196.2,0.01,1.5,0.1,2340.7,1992.4,28.23961,22.837545,26.993799,31.059731,35.038307,38.932384,22.446268,-0.931
