"Cruise","Station","Type","Date","Longitude","Latitude","Press","Depth","Temp","Sal","Oxy","Phos","Si","Ni","TA","DIC","ptemp","S0","S1","S2","S3","S4","ndens","AOU"
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,10,10,23.697,36.654,214.92999,0.0588,0.102,0.1358,2402.41406,2056.6001,23.6949,24.98735,29.19629,33.31373,37.34285,41.28665,24.992057,-6.2883
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,30,30,23.36,36.641,217.60001,0.049,0.1224,0,2401.73047,2054.69995,23.35377,25.07814,29.2918,33.41383,37.44741,41.3955,25.08436,-7.7001
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,50,50,22.856,36.589,222.75,0.049,0.1122,0.0291,2398.97461,2052.80005,22.84577,25.18686,29.40783,33.53698,37.57745,41.53221,25.195043,-10.9099
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,70,70,20.128,36.319,230.67,0.0784,0.0816,0,2383.1333,2055.80005,20.11493,25.74145,30.00383,34.17329,38.25278,42.24512,25.761839,-7.814
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,100,99,19.037,36.203,217.89999,0.1862,0.255,0.5723,2375.47437,2070,19.01905,25.9401,30.22022,34.40693,38.50311,42.51152,25.965887,9.6908
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,150,149,17.255,35.899,205.33,0.3332,0.7854,3.5405,2357.77979,2082.80005,17.22987,26.15358,30.46483,34.68178,38.8072,42.84374,26.187298,30.568
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,200,199,15.249,35.518,204.63,0.5194,1.5606,6.208,2336.81909,2091.6001,15.21825,26.32741,30.67616,34.92955,39.09019,43.1606,26.371769,41.3512
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,299,297,13.772,35.34,205.13,0.7056,2.448,9.4963,2326.62744,2102.5,13.72899,26.51094,30.88839,35.16965,39.35723,43.45355,26.567472,48.6682
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,400,397,11.845,35.059,207.11,0.9212,3.9168,13.677,2311.91772,2114.80005,11.79277,26.67805,31.09532,35.41526,39.64021,43.77247,26.751955,57.6334
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,499,495,9.965,34.816,204.53,1.2446,6.5586,18.498,2300.70288,2130.3999,9.9064,26.82727,31.28562,35.64547,39.90899,44.07833,26.920401,71.6683
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,599,594,7.889,34.584,202.06,1.617,11.118,23.765,2292.81274,2149.8999,7.82755,26.9751,31.48149,35.88804,40.19668,44.40944,27.09099,87.7633
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,699,693,6.171,34.424,212.85001,1.8326,15.157,26.908,2289.45435,2159.5,6.10797,27.08572,31.63418,36.0816,40.42977,44.68054,27.220485,89.1134
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,849,842,4.519,34.323,218.39,2.0874,23.399,30.109,2292.00391,2175.80005,4.4524,27.20177,31.79263,36.28127,40.66928,44.95839,27.357107,96.0285
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,1000,991,3.797,34.356,205.23,2.2442,33.997,32.873,2301.19214,2196.1001,3.72297,27.30448,31.91414,36.42105,40.82674,45.13285,27.473865,114.8019
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,1249,1237,3.322,34.506,190.17999,2.2834,45.359,33.843,2316.66919,2217.3999,3.23145,27.47252,32.09407,36.61253,41.02939,45.34624,27.657713,133.46001
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,1500,1485,3.415,34.678,195.53,2.0678,42.534,31.797,2322.95898,2211.30005,3.30186,27.60319,32.22144,36.73671,41.15047,45.46433,27.78353,127.1714
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,1750,1731,3.867,34.88,220.08,1.666,26.326,26.704,2320.94556,2183.8999,3.72515,27.72202,32.32738,36.83013,41.23177,45.53397,27.872032,98.8199
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,2000,1977,3.7,34.941,240.47,1.4308,22.277,23.581,2320.35181,2171.19995,3.53653,27.78901,32.39888,36.906,41.31188,45.61814,27.935961,79.7913
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,2301,2273,3.409,34.954,250.77,1.3524,22.369,21.951,2321.77393,2166,3.2208,27.82976,32.44794,36.96315,41.37686,45.69065,27.984459,71.9869
NA,NA,"B","1993-01-01T06:50:00",-44.79999,-28.4,2601,2568,3.083,34.94,253.74001,1.3622,26.663,21.631,2324.42236,2175.69995,2.87088,27.85118,32.47892,37.00342,41.42611,45.74854,28.021767,71.8858
