"Cruise","Station","Type","Date","Longitude","Latitude","Press","Depth","Temp","Sal","Oxy","Phos","Si","Ni","TA","DIC","ptemp","S0","S1","S2","S3","S4","ndens","AOU"
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,9.9,9.837,27.4078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,10.2,10.135,27.431,37.096802,NA,NA,NA,NA,2426.5,NA,27.42861,24.160178,28.319211,32.387958,36.369822,40.267932,24.155277,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,68.7,68.253,23.4583,37.0788,NA,NA,NA,NA,NA,NA,23.44394,25.383476,29.593311,33.711658,37.741699,41.686413,25.393846,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,69.1,68.65,23.4711,37.083698,NA,NA,NA,NA,2428.9,2099.9,23.45665,25.383439,29.593072,33.711223,37.741075,41.685605,25.393798,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,100.5,99.838,21.9961,36.917099,NA,NA,NA,NA,NA,NA,21.97605,25.685018,29.916272,34.055475,38.105714,42.069903,25.701169,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,100.6,99.937,21.9945,36.915901,NA,NA,NA,NA,2415.7,NA,21.97443,25.684566,29.915851,34.055082,38.10535,42.069566,25.700709,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,180.4,179.177,17.013,35.778099,NA,NA,NA,NA,NA,NA,16.98307,26.120108,30.436309,34.658068,38.788129,42.829138,26.153589,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,180.9,179.674,17.0226,35.783501,NA,NA,NA,NA,2346.9,2098.5,16.99257,26.121983,30.437987,34.659556,38.789433,42.830265,26.155462,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,256.1,254.318,16.2327,35.6959,NA,NA,NA,NA,2347.6,2116.9,16.1915,26.243294,30.573637,34.80914,38.952484,43.006271,26.281689,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,256.3,254.516,16.2212,35.693001,NA,NA,NA,NA,NA,NA,16.17999,26.243732,30.574294,34.81001,38.953561,43.007546,26.282184,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,507.9,504.059,12.6426,35.1422,NA,NA,NA,NA,NA,2119.3,12.5731,26.59236,30.99348,35.29774,39.50753,43.625215,26.657523,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,508,504.158,12.6138,35.133499,NA,NA,NA,NA,NA,NA,12.54439,26.591259,30.993005,35.297873,39.50825,43.6265,26.656708,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,760,753.796,6.3013,34.437401,193.2,NA,NA,NA,NA,NA,6.23168,27.08105,31.626385,36.070769,40.415996,44.663941,27.212513,107.8563
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,760.8,754.588,6.3096,34.443401,193.7,NA,NA,NA,NA,NA,6.23985,27.084736,31.629826,36.073971,40.418968,44.666691,27.215723,107.2866
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,1012.6,1003.728,3.9456,34.4109,189.9,NA,NA,NA,2318.6,2208.6,3.86927,27.33426,31.939608,36.44233,40.843964,45.146169,27.499062,128.8613
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,1012.6,1003.728,3.9425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,1519.2,1504.081,3.9402,34.812698,NA,NA,NA,NA,NA,NA,3.81897,27.658967,32.262397,36.763264,41.163099,45.463554,27.816832,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,1519.8,1504.673,3.9398,34.753101,NA,NA,NA,NA,NA,2199,3.81867,27.61156,32.215479,36.71682,41.117114,45.418014,27.773942,NA
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,2027.4,2004.826,3.6539,34.961601,245.7,NA,NA,NA,NA,NA,3.48841,27.809949,32.420923,36.929128,41.336057,45.64333,27.958255,74.8999
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,2028,2005.416,3.6553,34.958,247.5,NA,NA,NA,2319.8,2165.8,3.48974,27.806948,32.417916,36.926115,41.333038,45.640306,27.955702,73.0969
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,2537.7,2506.462,2.8911,34.928299,250.9,NA,NA,NA,NA,2173.5,2.68897,27.858459,32.491239,37.020645,41.448075,45.775072,28.040738,76.2449
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,2538.1,2506.855,2.8895,34.928799,250.8,NA,NA,NA,NA,NA,2.68736,27.859002,32.491822,37.021266,41.448734,45.775767,28.04129,76.3571
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,2884.2,2846.416,2.478,34.901001,249.4,NA,NA,NA,NA,NA,2.24981,27.874648,32.51973,37.061096,41.500094,45.838221,28.083165,81.4608
"A09.5_740H20180228",3,"B","2018-03-01T18:06:00",-40.3157,-23.746,2884.7,2846.906,2.4732,34.900398,NA,NA,NA,NA,NA,NA,2.24507,27.874561,32.519779,37.061278,41.500404,45.838654,28.083426,NA
