"Cruise","Station","Type","Date","Longitude","Latitude","Press","Depth","Temp","Sal","Oxy","Phos","Si","Ni","TA","DIC","ptemp","S0","S1","S2","S3","S4","ndens","AOU"
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,4.5,4,11.502,34.1511,268.4,0.63,1.15,8.57,2286.3,2071.687,11.50144,26.023075,30.452509,34.783543,39.01873,43.16061,26.093714,-0.7893
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,50.7,50,8.4018,34.075199,286.3,1.13,2.88,16.57,2277.5,2103.176,8.39663,26.487886,30.98489,35.381577,39.680294,43.883408,26.597891,0.0044
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,203.2,201,4.1423,34.132401,287.3,1.7,13.46,25.4,2278.5,2154.226,4.12806,27.082745,31.683229,36.180573,40.576736,44.873756,27.254734,28.562
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,302.5,300,3.6738,34.135101,278.5,1.8,17.93,27.02,2281.1,2161.849,3.6535,27.132959,31.745895,36.25536,40.663265,44.9716,27.315596,40.9998
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,396.4,393,3.2812,34.1418,277.5,1.91,22.56,28.49,2284.7,2171.678,3.25554,27.176493,31.799986,36.319729,40.737587,45.055519,27.367641,45.0979
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,505.3,500,2.7714,34.139,269.7,1.98,26.73,29.56,2288.1,2180.686,2.74031,27.220804,31.858263,36.391609,40.822647,45.153278,27.420067,57.018
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,599.6,594,2.7795,34.205002,244.9,2.08,33.49,30.92,2294.8,2194.887,2.74205,27.273386,31.910255,36.443027,40.873501,45.203583,27.476954,81.6398
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,694.7,688,2.7397,34.266602,224.9,2.18,41.4,32.25,2302.5,2210.014,2.69592,27.32663,31.964252,36.497753,40.928928,45.259689,27.534349,101.8589
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,803.9,796,2.7457,34.3549,201.1,2.26,52.04,33.67,2312.4,2226.178,2.69418,27.397348,32.034294,36.567127,40.997658,45.327782,27.607883,125.4532
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,902.1,893,2.8934,34.438499,185.7,2.29,56.34,33.7,2319,2233.749,2.8337,27.451847,32.084305,36.612766,41.039055,45.365086,27.658566,139.5233
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,1005,994,2.7238,34.490898,177.6,2.3,64.38,34.06,2326.8,2243.586,2.65772,27.509226,32.146049,36.678757,41.109154,45.439144,27.722239,148.9091
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,1195.1,1182,2.5833,34.564301,172.4,2.3,69.53,33.87,2334.5,2251.373,2.50409,27.581163,32.221588,36.757801,41.191589,45.524841,27.800449,155.1701
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,1396.1,1380,2.6268,34.66,178.1,2.17,68.51,32.02,2337.6,2245.572,2.53136,27.655365,32.294254,36.828968,41.261295,45.593132,27.870672,149.0097
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,1598.3,1579,2.7792,34.7514,193.9,1.95,61.58,28.99,2335.7,2230.09,2.66532,27.716793,32.351269,36.88168,41.309834,45.637642,27.920368,131.9001
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,1797.7,1775,2.773,34.801102,205.7,1.82,58.03,27.34,2334.6,2220.008,2.64211,27.758566,32.393265,36.923893,41.352253,45.680256,27.959805,120.1636
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,2003.8,1977,2.6005,34.795799,205.1,1.84,62.38,27.63,2337.8,2224.158,2.45408,27.770611,32.4105,36.946182,41.37944,45.712162,27.982664,122.2975
"29HE20190406",1,"B","2019-04-09T10:18:00",-54.9245,-48.306,2275.9,2245,2.3722,34.788601,203.9,1.88,68.92,28.29,2342.4,2230.003,2.20513,27.785723,32.432533,36.974957,41.414749,45.753769,28.013155,125.5486
